condition,leg,pulse_us,approach,prior_us,direction,target_speed_mps,signed_distance_m,heading_change_rad,curvature_1pm,effective_angle_rad,samples,integral_trim_us,valid
1,1,1450.0,increasing,1420.0,forward,0.2,0.21557385046156202,0.01229210955836018,0.05702041101943359,0.015821843694412703,9,-3.926993046761554,True
1,2,1450.0,increasing,1420.0,reverse,-0.2,-0.3458266774224037,0.006977212781028835,-0.020175461398851673,-0.005598632041669946,15,5.167942218614329,True
2,3,1450.0,decreasing,1480.0,forward,0.2,0.408514641614091,0.013089074318555244,0.03204064918417298,0.008891045860077156,21,-5.756493679080654,True
2,4,1450.0,decreasing,1480.0,reverse,-0.2,-0.3929103932391278,0.02269442026029185,-0.05775978607539628,-0.01602696824606799,19,5.634667284626879,True
3,5,1160.0,decreasing,1190.0,forward,0.2,0.4026446658910501,-0.3413722403347314,-0.8478250657543838,-0.23106919400818504,20,-7.268016464158158,True
3,6,1160.0,decreasing,1190.0,reverse,-0.2,-0.3973963125487554,0.3595309275690458,-0.9047163152147669,-0.24597491105213515,16,4.191449944399772,True
