stage,side,candidate,pulse_us,forward_curvature_1pm,forward_curvature_se_1pm,reverse_curvature_1pm,reverse_curvature_se_1pm,mean_curvature_1pm,direction_disagreement_1pm,effective_angle_deg,inner_wheel_angle_deg,outer_wheel_angle_deg,incremental_gain_1pm_per_us,recovery_events,clean_mobile,stop_reason
probe,lower,1,1400.0,-0.1384966548790282,0.005755338707003275,-0.22125372432135165,0.005857502083664019,-0.17987518960018994,0.04137853472116172,-2.8575680767627114,-2.92237868949461,-2.7955675180234714,nan,0,True,
probe,upper,1,1500.0,0.1302548796897377,0.012063826602846443,0.07196530655251646,0.002931126088245491,0.10111009312112708,0.029144786568610623,1.607186228351679,1.6274982296364635,1.5873748573246498,nan,0,True,
resume,upper,2,1550.0,0.33768709359110344,0.008666064303045451,0.2477431500621549,0.01081357968858921,0.2927151218266292,0.044971971764474275,4.643851587147807,4.817219777336189,4.482504093211304,nan,0,True,
search,upper,3,1600.0,0.5305161695649894,0.0079047331233876,0.41076833719941347,0.009702005468324781,0.47064225338220145,0.05987391618278795,7.440897373268887,7.894459855201357,7.036372342920054,0.0035585426311114453,0,True,
search,upper,4,1639.4803873170906,0.6443300199194951,0.010292879903708946,0.5306385569762875,0.005343105442937921,0.5874842884478912,0.05684573147160382,9.25929570526085,9.969631640164913,8.64273130747668,0.0029594956636889475,0,True,
search,upper,5,1686.9522059395708,0.8321966274687717,0.016420285312455304,0.7041072425500998,0.010230777344508678,0.7681519350094357,0.06404469245933592,12.033194334460118,13.251893785047494,11.017225619412807,0.003805787345083711,0,True,
search,upper,6,1723.8677318535833,0.9692087593763783,0.015337292544274102,0.8357035694789784,0.012794029091621152,0.9024561644276783,0.06675259494869995,14.059514548205268,15.74017423374454,12.697780489023177,0.0036381502387661502,0,True,
search,upper,7,1762.4842353348429,1.1412633151756935,0.018294829244345556,0.9925449559240956,0.01751724060598245,1.0669041355498945,0.07435917962579891,16.492225140209626,18.829196849459045,14.659898913174143,0.0042584894098975645,0,True,
search,upper,8,1795.4754272429702,1.304294749162006,0.009160167100239798,1.165249255070373,0.020007180245374307,1.2347720021161894,0.06952274704581651,18.913984271575323,22.013640080942626,16.55779204671524,0.005088263165325071,0,True,
search,upper,9,1823.086546557331,1.4114160768352002,0.013366279564373409,1.266116806367282,0.023046712265681474,1.338766441601241,0.07264963523395906,20.380418575039492,23.99381644502668,17.682194162925622,0.0037663970917311907,0,True,
search,upper,10,1860.3881475141443,1.6016858025559946,0.015856738548843573,1.4493725947479819,0.005962856046453503,1.5255291986519883,0.07615660390400636,22.94460963017413,27.54683844618545,19.606979594818398,0.005006829526351326,0,True,
search,upper,11,1888.4483482102605,1.6871581668685143,0.011052802947575335,1.513782662877965,0.011236500515223725,1.6004704148732396,0.08668775199527468,23.947468495173204,28.966402689174547,20.346417177916162,0.0026707298722786323,0,True,
search,upper,12,1930.5386492544349,1.8285229611790805,0.02089377555961581,1.6088588563523123,0.011729176772722102,1.7186909087656965,0.10983205241338412,25.49818866350625,31.192730818598218,21.476080104683685,0.002808734814426319,0,True,
search,upper,13,1980.558551681341,1.993446115693585,0.02810802758970071,1.7519216106652769,0.014221059865804776,1.872683863179431,0.12076225251415407,27.459536139633677,34.05934085754144,22.882553435198712,0.0030786336426538146,0,True,
search,upper,14,2000.0,1.9757896645491284,0.023079833986847192,1.759416273275384,0.0054306663746065825,1.8676029689122562,0.10818669563687222,27.39589277680143,33.965486966053206,22.837285937713702,-0.00026134340322260454,0,True,immutable electrical guard
