condition,leg,pulse_us,approach,prior_us,direction,target_speed_mps,signed_distance_m,heading_change_rad,curvature_1pm,effective_angle_rad,samples,valid
1,1,1450.0,increasing,1420.0,forward,0.2,0.3308604218036792,0.041630592962073276,0.12582524296839406,0.03490232566537138,16,True
1,2,1450.0,increasing,1420.0,reverse,-0.2,-0.34235887348578387,0.004643854772570677,-0.013564289207078223,-0.0037640724781006782,17,True
2,3,1450.0,decreasing,1480.0,forward,0.2,0.2441406771326713,0.007914717311917618,0.03241867518707909,0.008995939685295874,15,True
2,4,1450.0,decreasing,1480.0,reverse,-0.2,-0.3448117518479604,0.015832308824126562,-0.045915804027200274,-0.012740946152925373,17,True
3,5,1180.0,decreasing,1210.0,forward,0.2,0.2605342053930323,-0.22434226685603786,-0.8610856548283301,-0.23455313116980941,15,True
3,6,1180.0,decreasing,1210.0,reverse,-0.2,-0.3636337895517892,0.31803785246788985,-0.874610285419019,-0.2381004739949279,22,True
4,7,1720.0,increasing,1690.0,forward,0.2,0.33249578761237203,0.32218707190275353,0.9689959509452898,0.2626829130161278,20,True
4,8,1720.0,increasing,1690.0,reverse,-0.2,-0.32730761898212,-0.2857161373246768,0.8729284647061172,0.23765968377423122,19,True
