stage,side,candidate,pulse_us,forward_curvature_1pm,forward_curvature_se_1pm,reverse_curvature_1pm,reverse_curvature_se_1pm,mean_curvature_1pm,direction_disagreement_1pm,effective_angle_deg,inner_wheel_angle_deg,outer_wheel_angle_deg,incremental_gain_1pm_per_us,recovery_events,clean_mobile,stop_reason
probe,lower,1,1400.0,-0.15056556114849767,0.012131782262732996,-0.24094020233068972,0.00889464255428329,-0.1957528817395937,0.04518732059109602,-3.1093324171489023,-3.1862075055072525,-3.0360761440383746,nan,1,False,traction recovery required
probe,upper,1,1500.0,0.14166657444958922,0.016507812114200767,0.076840886900246,0.00691593036286275,0.10925373067491762,0.03241284377467161,1.7365563652453964,1.76029306825665,1.7134511125637883,nan,1,False,traction recovery required
resume,lower,2,1056.0,-1.244863905798181,0.034675827638268195,-1.191283576724976,0.01952539636072528,-1.2180737412615785,0.026790164536602434,-18.676048392453296,-21.696002262398714,-16.373636708283115,nan,0,True,
search,lower,3,1006.0,-1.3421340714961936,0.02895597061338214,-1.292592084176811,0.012829018839739697,-1.3173630778365024,0.024770993659691265,-20.080807774998565,-23.58611629041936,-17.453916929176483,0.001985786731498478,0,True,
search,lower,4,1000.0,-1.3503581642790528,0.0358770486736918,-1.290426210883261,0.014387483824394556,-1.3203921875811568,0.029965976697895913,-20.123280255406442,-23.643814492069676,-17.48632188868281,4.038812992872565e-05,0,True,immutable electrical guard
