stage,side,candidate,pulse_us,forward_curvature_1pm,reverse_curvature_1pm,mean_curvature_1pm,direction_disagreement_1pm,effective_angle_deg,inner_wheel_angle_deg,outer_wheel_angle_deg,incremental_gain_1pm_per_us,recovery_events,clean_mobile,stop_reason
probe,lower,1,1400.0,-0.15272381203279886,-0.24638452055344046,-0.19955416629311967,0.0468303542603208,-3.169589956404819,-3.2495085561458437,-3.093504313166193,nan,0,True,
probe,upper,1,1500.0,0.11942931839735554,0.06133694867218492,0.09038313353477023,0.02904618486258531,1.43675253181568,1.452964141786686,1.4208986222994557,nan,0,True,
search,lower,2,1331.1733376797063,-0.3468043266900269,-0.4269670786770555,-0.3868857026835412,0.0400813759935143,-6.127847774304416,-6.432813666569828,-5.850392607938477,0.002721787314320864,0,True,
search,lower,3,1257.8560122431622,-0.6035541400952477,-0.6336106658038153,-0.6185824029495315,0.015028262854283825,-9.740271088208958,-10.52857741022129,-9.060869069061491,0.0031601902945371826,0,True,
search,lower,4,1194.7097622726853,-0.8395564606768323,-0.8384331944635433,-0.8389948275701877,0.0005616331066445324,-13.106183799726825,-14.559917279433067,-11.912562124045122,0.003490506953678281,0,True,
search,lower,5,1137.5392225942496,-0.9981380397762621,-0.9751501801040212,-0.9866441099401417,0.011493929836120464,-15.311977110553048,-17.316690120648477,-13.715235364518245,0.0025826113099584116,0,True,
search,lower,6,1060.2708525829942,-1.2383950520480116,-1.1762286290951716,-1.2073118405715917,0.031083211476420014,-18.52234522866729,-21.491360682502254,-16.25441412627069,0.0028558610800163893,0,True,candidate budget exhausted without plateau
search,upper,2,1531.1733376797063,0.23210169393142535,0.15612431841437335,0.19411300617289934,0.037988687758526,3.0833351586288673,3.1589157989528243,3.011283458512438,0.003327518974833973,0,True,
search,upper,3,1565.4228984297736,0.3852954343824747,0.33040016233638975,0.35784779835943226,0.027447636023042482,5.671037267012811,5.931424070454251,5.43248508426645,0.004780639184875121,0,True,
search,upper,4,1584.3289756381776,0.4890235328184705,0.3876389227804576,0.43833122779946404,0.050692305019006456,6.9352124137086015,7.327929823128826,6.582270799705718,0.004257013686808397,0,True,curvature response plateau
search,upper,5,1612.6880914507835,0.5920993441648226,0.49534250801661006,0.5437209260907163,0.048378418074106255,8.58021326970933,9.187655502939071,8.047615304838542,0.003716254730495004,0,True,
