direction,block,target_curvature_1pm,steering_pulse_us,approach_direction,settled_signed_distance_m,settled_heading_change_rad,measured_curvature_1pm,curvature_error_1pm,effective_angle_rad,mean_speed_mps,speed_std_mps,settled_samples,recovery_events,integral_trim_us,valid
forward,1,0.0,1450.0,same,0.4060890329900665,-0.01625521757204007,-0.040028703686853066,-0.040028703686853066,-0.011107508447815287,0.17057507128169247,0.01892549087173647,22,0,-1.9450769156551275,True
forward,2,0.3,1542.3076923076924,increasing,0.34433585567493163,0.1083764069309342,0.3147404057544514,0.014740405754451402,0.08711938553177129,0.22580140135758872,0.015191251601832103,15,0,-1.778070849841276,True
forward,3,-0.3,1357.6923076923076,decreasing,0.3026397773493768,-0.08264029867342204,-0.2730648938391846,0.026935106160815403,-0.07563097316569274,0.19047186958183873,0.016832588418251925,16,0,-1.7235597841805765,True
forward,4,0.6,1634.6153846153845,increasing,0.3182467800539226,0.19555414013907835,0.6144732716728332,0.014473271672833188,0.16889194429954626,0.21075100455748086,0.015384848002454954,15,0,-1.269902597619743,True
forward,5,-0.6,1265.3846153846155,decreasing,0.3370360432282235,-0.18950937608475837,-0.562282224386406,0.03771777561359402,-0.15478521623425182,0.19587618730595194,0.009836923472874567,17,0,-1.7452214388324618,True
forward,6,0.0,1450.0,increasing,0.3301218789916544,-0.004583553487907288,-0.013884428084280842,-0.013884428084280842,-0.003852909727904344,0.19284255411664897,0.01501502701536845,17,0,-2.1484305267582178,True
reverse,7,0.0,1450.0,same,-0.37925735375921016,0.03444977071884514,-0.09083481276599646,-0.09083481276599646,-0.025201324010009327,0.17754980000192672,0.026429131833235038,20,0,2.7973309198637866,True
reverse,8,-0.6,1265.3846153846155,decreasing,-0.33287346250713834,0.19108224210205071,-0.5740386772284469,0.025961322771553053,-0.15796849897975296,0.19178517003547843,0.018890976916179518,17,0,3.8095160292346977,True
reverse,9,0.6,1634.6153846153845,increasing,-0.3465462586970518,-0.1768772541750343,0.5104001262055439,-0.08959987379445611,0.1407001648827987,0.21017873243067162,0.012498720036460749,16,0,3.350312565783142,True
reverse,10,-0.3,1357.6923076923076,decreasing,-0.31922867384583936,0.10360220140366838,-0.3245391466735834,-0.024539146673583423,-0.08981730808994598,0.18733720314203872,0.014147959469662361,17,0,3.783456316376085,True
reverse,11,0.3,1542.3076923076924,increasing,-0.3000452695239022,-0.06906397033124723,0.2301785008670015,-0.06982149913299848,0.06378787759309298,0.21830195930244495,0.006734841747611546,14,0,2.497550096401285,True
reverse,12,0.0,1450.0,decreasing,-0.3730615484654276,0.03051513802497996,-0.08179652432823122,-0.08179652432823122,-0.022694638432656313,0.18650245262446694,0.03610063268349972,19,0,3.7414601928598783,True
