mode,pass_index,direction,phase,elapsed_s,esc_pulse_us,esc_tick,signed_speed_mps,raw_ds_m,raw_dyaw_rad,fresh_odom,leg_motion_m,clearance_m,controller_state,recovery_count
decay,1,forward,closed_loop,3.9788,1402.924,1131,0.009074,,,0,0.014925,1.319,startup,0
decay,1,forward,closed_loop,3.9813,1399.824,1129,0.021318,0.0059525,-0.0017570,1,0.020878,1.319,startup,0
decay,1,forward,closed_loop,3.9975,1399.824,1129,0.021318,,,0,0.020878,1.319,startup,0
decay,1,forward,closed_loop,4.0192,1399.824,1129,0.021318,,,0,0.020878,1.319,startup,0
decay,1,forward,closed_loop,4.0408,1399.824,1129,0.021318,,,0,0.020878,1.319,startup,0
decay,1,forward,closed_loop,4.0624,1399.824,1129,0.021318,,,0,0.020878,1.335,startup,0
decay,1,forward,closed_loop,4.0812,1419.384,1145,0.063027,0.0180697,0.0007295,1,0.038947,1.335,rolling,0
decay,1,forward,closed_loop,4.0947,1419.384,1145,0.063027,,,0,0.038947,1.335,rolling,0
decay,1,forward,closed_loop,4.1164,1419.384,1145,0.063027,,,0,0.038947,1.335,rolling,0
decay,1,forward,closed_loop,4.1380,1419.384,1145,0.063027,,,0,0.038947,1.335,rolling,0
decay,1,forward,closed_loop,4.1595,1419.384,1145,0.063027,,,0,0.038947,1.352,rolling,0
decay,1,forward,closed_loop,4.1810,1417.223,1143,0.106123,0.0236834,0.0013758,1,0.062631,1.352,rolling,0
decay,1,forward,closed_loop,4.1936,1417.223,1143,0.106123,,,0,0.062631,1.352,rolling,0
decay,1,forward,closed_loop,4.2152,1417.223,1143,0.106123,,,0,0.062631,1.352,rolling,0
decay,1,forward,closed_loop,4.2368,1417.223,1143,0.106123,,,0,0.062631,1.352,rolling,0
decay,1,forward,closed_loop,4.2585,1417.223,1143,0.106123,,,0,0.062631,1.352,rolling,0
decay,1,forward,closed_loop,4.2814,1417.223,1143,0.106123,,,0,0.062631,1.370,rolling,0
decay,1,forward,closed_loop,4.2838,1417.501,1143,0.130494,0.0204313,0.0039685,1,0.083062,1.370,rolling,0
decay,1,forward,closed_loop,4.3003,1417.501,1143,0.130494,,,0,0.083062,1.370,rolling,0
decay,1,forward,closed_loop,4.3220,1417.501,1143,0.130494,,,0,0.083062,1.370,rolling,0
decay,1,forward,closed_loop,4.3436,1417.501,1143,0.130494,,,0,0.083062,1.370,rolling,0
decay,1,forward,closed_loop,4.3652,1417.501,1143,0.130494,,,0,0.083062,1.387,rolling,0
decay,1,forward,closed_loop,4.3825,1417.800,1143,0.152594,0.0220870,0.0010845,1,0.105149,1.387,rolling,0
decay,1,forward,closed_loop,4.4027,1417.800,1143,0.152594,,,0,0.105149,1.387,rolling,0
decay,1,forward,closed_loop,4.4244,1417.800,1143,0.152594,,,0,0.105149,1.387,rolling,0
decay,1,forward,closed_loop,4.4461,1417.800,1143,0.152594,,,0,0.105149,1.387,rolling,0
decay,1,forward,closed_loop,4.4677,1417.800,1143,0.152594,,,0,0.105149,1.404,rolling,0
decay,1,forward,closed_loop,4.4827,1417.823,1143,0.159868,0.0184305,-0.0001224,1,0.123580,1.404,rolling,0
decay,1,forward,closed_loop,4.4948,1417.823,1143,0.159868,,,0,0.123580,1.404,rolling,0
decay,1,forward,closed_loop,4.5164,1417.823,1143,0.159868,,,0,0.123580,1.404,rolling,0
decay,1,forward,closed_loop,4.5380,1417.823,1143,0.159868,,,0,0.123580,1.404,rolling,0
decay,1,forward,closed_loop,4.5595,1417.823,1143,0.159868,,,0,0.123580,1.404,rolling,0
decay,1,forward,closed_loop,4.5812,1417.823,1143,0.159868,,,0,0.123580,1.418,rolling,0
decay,1,forward,closed_loop,4.5837,1417.625,1143,0.156445,0.0145119,0.0000456,1,0.138092,1.418,rolling,0
decay,1,forward,closed_loop,4.5969,1417.625,1143,0.156445,,,0,0.138092,1.418,rolling,0
decay,1,forward,closed_loop,4.6187,1417.625,1143,0.156445,,,0,0.138092,1.418,rolling,0
decay,1,forward,closed_loop,4.6404,1417.625,1143,0.156445,,,0,0.138092,1.418,rolling,0
decay,1,forward,closed_loop,4.6622,1417.625,1143,0.156445,,,0,0.138092,1.427,rolling,0
decay,1,forward,closed_loop,4.6838,1417.316,1143,0.148765,0.0126624,0.0007328,1,0.150754,1.427,rolling,0
decay,1,forward,closed_loop,4.7046,1417.316,1143,0.148765,,,0,0.150754,1.427,rolling,0
decay,1,forward,closed_loop,4.7263,1417.316,1143,0.148765,,,0,0.150754,1.427,rolling,0
decay,1,forward,closed_loop,4.7480,1417.316,1143,0.148765,,,0,0.150754,1.427,rolling,0
decay,1,forward,closed_loop,4.7696,1417.316,1143,0.148765,,,0,0.150754,1.433,rolling,0
decay,1,forward,closed_loop,4.7845,1416.672,1142,0.127486,0.0064076,0.0000652,1,0.157162,1.433,rolling,0
decay,1,forward,closed_loop,4.8006,1416.672,1142,0.127486,,,0,0.157162,1.433,rolling,0
decay,1,forward,closed_loop,4.8224,1416.672,1142,0.127486,,,0,0.157162,1.433,rolling,0
decay,1,forward,closed_loop,4.8441,1416.672,1142,0.127486,,,0,0.157162,1.433,rolling,0
decay,1,forward,closed_loop,4.8658,1416.672,1142,0.127486,,,0,0.157162,1.441,rolling,0
decay,1,forward,closed_loop,4.8851,1416.107,1142,0.112418,0.0067316,-0.0002321,1,0.163893,1.441,rolling,0
decay,1,forward,closed_loop,4.8993,1416.107,1142,0.112418,,,0,0.163893,1.441,rolling,0
decay,1,forward,closed_loop,4.9210,1416.107,1142,0.112418,,,0,0.163893,1.441,rolling,0
decay,1,forward,closed_loop,4.9426,1416.107,1142,0.112418,,,0,0.163893,1.441,rolling,0
decay,1,forward,closed_loop,4.9643,1416.107,1142,0.112418,,,0,0.163893,1.445,rolling,0
decay,1,forward,closed_loop,4.9855,1415.489,1142,0.097048,0.0051308,-0.0000552,1,0.169024,1.445,rolling,0
decay,1,forward,closed_loop,4.9937,1415.489,1142,0.097048,,,0,0.169024,1.445,rolling,0
decay,1,forward,closed_loop,5.0153,1415.489,1142,0.097048,,,0,0.169024,1.445,rolling,0
decay,1,forward,closed_loop,5.0369,1415.489,1142,0.097048,,,0,0.169024,1.445,rolling,0
decay,1,forward,closed_loop,5.0585,1415.489,1142,0.097048,,,0,0.169024,1.445,rolling,0
decay,1,forward,closed_loop,5.0801,1415.489,1142,0.097048,,,0,0.169024,1.445,rolling,0
decay,1,forward,closed_loop,5.0833,1414.874,1141,0.083755,0.0043938,0.0024317,1,0.173418,1.445,rolling,0
decay,1,forward,closed_loop,5.1010,1414.874,1141,0.083755,,,0,0.173418,1.445,rolling,0
decay,1,forward,closed_loop,5.1226,1414.874,1141,0.083755,,,0,0.173418,1.445,rolling,0
decay,1,forward,closed_loop,5.1441,1414.874,1141,0.083755,,,0,0.173418,1.445,rolling,0
decay,1,forward,closed_loop,5.1657,1414.874,1141,0.083755,,,0,0.173418,1.445,rolling,0
decay,1,forward,closed_loop,5.1842,1414.874,1141,0.083755,,,0,0.173418,1.445,rolling,0
decay,1,forward,closed_loop,5.2065,1413.804,1140,0.052124,-0.0042148,-0.0023402,1,0.177632,1.445,rolling,0
decay,1,forward,closed_loop,5.2084,1413.804,1140,0.052124,,,0,0.177632,1.445,rolling,0
decay,1,forward,closed_loop,5.2300,1413.804,1140,0.052124,,,0,0.177632,1.445,rolling,0
decay,1,forward,closed_loop,5.2516,1413.804,1140,0.052124,,,0,0.177632,1.445,rolling,0
decay,1,forward,closed_loop,5.2733,1413.804,1140,0.052124,,,0,0.177632,1.445,rolling,0
decay,1,forward,closed_loop,5.2844,1413.112,1140,0.041573,0.0010041,-0.0000969,1,0.178637,1.445,rolling,0
decay,1,forward,closed_loop,5.3017,1413.112,1140,0.041573,,,0,0.178637,1.445,rolling,0
decay,1,forward,closed_loop,5.3233,1413.112,1140,0.041573,,,0,0.178637,1.445,rolling,0
decay,1,forward,closed_loop,5.3448,1413.112,1140,0.041573,,,0,0.178637,1.445,rolling,0
decay,1,forward,closed_loop,5.3663,1413.112,1140,0.041573,,,0,0.178637,1.444,rolling,0
decay,1,forward,closed_loop,5.3850,1412.297,1139,0.026760,-0.0017628,0.0004259,1,0.180399,1.444,rolling,0
decay,1,forward,closed_loop,5.3978,1412.297,1139,0.026760,,,0,0.180399,1.444,rolling,0
decay,1,forward,closed_loop,5.4195,1412.297,1139,0.026760,,,0,0.180399,1.444,rolling,0
decay,1,forward,closed_loop,5.4410,1412.297,1139,0.026760,,,0,0.180399,1.444,rolling,0
decay,1,forward,closed_loop,5.4627,1412.297,1139,0.026760,,,0,0.180399,1.444,rolling,0
decay,1,forward,closed_loop,5.4829,1411.668,1138,0.022303,0.0009054,-0.0015506,1,0.181305,1.444,rolling,0
decay,1,forward,closed_loop,5.4985,1411.668,1138,0.022303,,,0,0.181305,1.444,rolling,0
decay,1,forward,closed_loop,5.5201,1411.668,1138,0.022303,,,0,0.181305,1.444,rolling,0
decay,1,forward,closed_loop,5.5416,1411.668,1138,0.022303,,,0,0.181305,1.444,rolling,0
decay,1,forward,closed_loop,5.5632,1411.668,1138,0.022303,,,0,0.181305,1.444,rolling,0
decay,1,forward,closed_loop,5.5834,1411.049,1138,0.017770,0.0004027,0.0003548,1,0.181707,1.444,rolling,0
decay,1,forward,closed_loop,5.5953,1411.049,1138,0.017770,,,0,0.181707,1.444,rolling,0
decay,1,forward,closed_loop,5.6169,1411.049,1138,0.017770,,,0,0.181707,1.444,rolling,0
decay,1,forward,closed_loop,5.6385,1411.049,1138,0.017770,,,0,0.181707,1.444,rolling,0
decay,1,forward,closed_loop,5.6601,1411.049,1138,0.017770,,,0,0.181707,1.445,rolling,0
decay,1,forward,closed_loop,5.6816,1410.319,1137,0.010237,-0.0012584,0.0017711,1,0.182966,1.445,rolling,0
decay,1,forward,closed_loop,5.6999,1410.319,1137,0.010237,,,0,0.182966,1.445,rolling,0
decay,1,forward,closed_loop,5.7216,1410.319,1137,0.010237,,,0,0.182966,1.445,rolling,0
decay,1,forward,closed_loop,5.7432,1410.319,1137,0.010237,,,0,0.182966,1.445,rolling,0
decay,1,forward,closed_loop,5.7649,1410.319,1137,0.010237,,,0,0.182966,1.445,rolling,0
decay,1,forward,closed_loop,5.7821,1409.630,1137,0.004404,-0.0012778,-0.0008305,1,0.184244,1.445,recovery,1
decay,1,forward,closed_loop,5.7946,1409.630,1137,0.004404,,,0,0.184244,1.445,recovery,1
decay,1,forward,closed_loop,5.8163,1409.630,1137,0.004404,,,0,0.184244,1.445,recovery,1
decay,1,forward,closed_loop,5.8378,1409.630,1137,0.004404,,,0,0.184244,1.445,recovery,1
decay,1,forward,closed_loop,5.8596,1409.630,1137,0.004404,,,0,0.184244,1.446,recovery,1
decay,1,forward,closed_loop,5.8799,1406.530,1134,0.006495,0.0012822,0.0026348,1,0.185526,1.446,recovery,1
decay,1,forward,closed_loop,5.9016,1406.530,1134,0.006495,,,0,0.185526,1.446,recovery,1
decay,1,forward,closed_loop,5.9232,1406.530,1134,0.006495,,,0,0.185526,1.446,recovery,1
decay,1,forward,closed_loop,5.9448,1406.530,1134,0.006495,,,0,0.185526,1.446,recovery,1
decay,1,forward,closed_loop,5.9663,1406.530,1134,0.006495,,,0,0.185526,1.445,recovery,1
